"Conduction Band (eV)","vtkValidPointMask","arc_length","x (nm)","y (nm)","z (nm)"
1.1286,1,59.28,-70.72,0,25.9
1.1284,1,59.54,-70.46,0,25.9
1.1283,1,59.8,-70.2,0,25.9
1.1281,1,60.06,-69.94,0,25.9
1.128,1,60.32,-69.68,0,25.9
1.1278,1,60.58,-69.42,0,25.9
1.1276,1,60.84,-69.16,0,25.9
1.1275,1,61.1,-68.9,0,25.9
1.1273,1,61.36,-68.64,0,25.9
1.1272,1,61.62,-68.38,0,25.9
1.1271,1,61.88,-68.12,0,25.9
1.127,1,62.14,-67.86,0,25.9
1.1269,1,62.4,-67.6,0,25.9
1.1268,1,62.66,-67.34,0,25.9
1.1267,1,62.92,-67.08,0,25.9
1.1266,1,63.18,-66.82,0,25.9
1.1266,1,63.44,-66.56,0,25.9
1.1265,1,63.7,-66.3,0,25.9
1.1264,1,63.96,-66.04,0,25.9
1.1263,1,64.22,-65.78,0,25.9
1.1262,1,64.48,-65.52,0,25.9
1.1262,1,64.74,-65.26,0,25.9
1.1261,1,65,-65,0,25.9
1.126,1,65.26,-64.74,0,25.9
1.1259,1,65.52,-64.48,0,25.9
1.1259,1,65.78,-64.22,0,25.9
1.1258,1,66.04,-63.96,0,25.9
1.1258,1,66.3,-63.7,0,25.9
1.1257,1,66.56,-63.44,0,25.9
1.1257,1,66.82,-63.18,0,25.9
1.1256,1,67.08,-62.92,0,25.9
1.1256,1,67.34,-62.66,0,25.9
1.1256,1,67.6,-62.4,0,25.9
1.1255,1,67.86,-62.14,0,25.9
1.1255,1,68.12,-61.88,0,25.9
1.1254,1,68.38,-61.62,0,25.9
1.1254,1,68.64,-61.36,0,25.9
1.1253,1,68.9,-61.1,0,25.9
1.1253,1,69.16,-60.84,0,25.9
1.1253,1,69.42,-60.58,0,25.9
1.1252,1,69.68,-60.32,0,25.9
1.1252,1,69.94,-60.06,0,25.9
1.1251,1,70.2,-59.8,0,25.9
1.1251,1,70.46,-59.54,0,25.9
