"Conduction Band (eV)","vtkValidPointMask","arc_length","x (nm)","y (nm)","z (nm)"
1.2696,0,1,27.3,-102.7,0,25.9
1.2699,0,1,27.56,-102.44,0,25.9
1.2698,0,1,27.82,-102.18,0,25.9
1.2696,0,1,28.08,-101.92,0,25.9
1.2694,0,1,28.34,-101.66,0,25.9
1.2693,0,1,28.6,-101.4,0,25.9
1.2691,0,1,28.86,-101.14,0,25.9
1.269,0,1,29.12,-100.88,0,25.9
1.2688,0,1,29.38,-100.62,0,25.9
1.2686,0,1,29.64,-100.36,0,25.9
1.2688,0,1,29.9,-100.1,0,25.9
1.2695,0,1,30.16,-99.84,0,25.9
1.2698,0,1,30.42,-99.58,0,25.9
1.2693,0,1,30.68,-99.32,0,25.9
1.2689,0,1,30.94,-99.06,0,25.9
1.269,0,1,31.2,-98.8,0,25.9
1.2691,0,1,31.46,-98.54,0,25.9
1.2693,0,1,31.72,-98.28,0,25.9
1.2694,0,1,31.98,-98.02,0,25.9
1.2695,0,1,32.24,-97.76,0,25.9
1.2697,0,1,32.5,-97.5,0,25.9
1.2698,0,1,32.76,-97.24,0,25.9
1.2699,0,1,33.02,-96.98,0,25.9
1.2681,0,1,33.28,-96.72,0,25.9
1.2657,0,1,33.54,-96.46,0,25.9
1.2634,0,1,33.8,-96.2,0,25.9
1.261,0,1,34.06,-95.94,0,25.9
1.2586,0,1,34.32,-95.68,0,25.9
1.2563,0,1,34.58,-95.42,0,25.9
1.2539,0,1,34.84,-95.16,0,25.9
1.2516,0,1,35.1,-94.9,0,25.9
1.2492,0,1,35.36,-94.64,0,25.9
1.2468,0,1,35.62,-94.38,0,25.9
1.2445,0,1,35.88,-94.12,0,25.9
1.2421,0,1,36.14,-93.86,0,25.9
1.2401,0,1,36.4,-93.6,0,25.9
1.2386,0,1,36.66,-93.34,0,25.9
1.2388,0,1,36.92,-93.08,0,25.9
1.2372,0,1,37.18,-92.82,0,25.9
1.235,0,1,37.44,-92.56,0,25.9
1.2313,0,1,37.7,-92.3,0,25.9
1.2273,0,1,37.96,-92.04,0,25.9
1.2233,0,1,38.22,-91.78,0,25.9
1.2193,0,1,38.48,-91.52,0,25.9
1.2153,0,1,38.74,-91.26,0,25.9
1.2113,0,1,39,-91,0,25.9
1.2073,0,1,39.26,-90.74,0,25.9
1.2033,0,1,39.52,-90.48,0,25.9
1.1994,0,1,39.78,-90.22,0,25.9
1.1954,0,1,40.04,-89.96,0,25.9
1.1914,0,1,40.3,-89.7,0,25.9
1.1874,0,1,40.56,-89.44,0,25.9
1.1834,0,1,40.82,-89.18,0,25.9
1.1794,0,1,41.08,-88.92,0,25.9
1.1754,0,1,41.34,-88.66,0,25.9
1.1715,0,1,41.6,-88.4,0,25.9
1.1675,0,1,41.86,-88.14,0,25.9
1.1654,0,1,42.12,-87.88,0,25.9
1.1644,0,1,42.38,-87.62,0,25.9
1.1635,0,1,42.64,-87.36,0,25.9
1.1625,0,1,42.9,-87.1,0,25.9
1.1615,0,1,43.16,-86.84,0,25.9
1.1606,0,1,43.42,-86.58,0,25.9
1.1596,0,1,43.68,-86.32,0,25.9
1.1586,0,1,43.94,-86.06,0,25.9
1.1577,0,1,44.2,-85.8,0,25.9
1.1567,0,1,44.46,-85.54,0,25.9
1.1557,0,1,44.72,-85.28,0,25.9
1.1548,0,1,44.98,-85.02,0,25.9
1.1538,0,1,45.24,-84.76,0,25.9
1.1528,0,1,45.5,-84.5,0,25.9
1.1518,0,1,45.76,-84.24,0,25.9
1.1509,0,1,46.02,-83.98,0,25.9
1.15,0,1,46.28,-83.72,0,25.9
1.1492,0,1,46.54,-83.46,0,25.9
1.1491,0,1,46.8,-83.2,0,25.9
1.1489,0,1,47.06,-82.94,0,25.9
1.1484,0,1,47.32,-82.68,0,25.9
1.1478,0,1,47.58,-82.42,0,25.9
1.147,0,1,47.84,-82.16,0,25.9
1.1463,0,1,48.1,-81.9,0,25.9
1.1455,0,1,48.36,-81.64,0,25.9
1.1448,0,1,48.62,-81.38,0,25.9
1.144,0,1,48.88,-81.12,0,25.9
1.1432,0,1,49.14,-80.86,0,25.9
1.1425,0,1,49.4,-80.6,0,25.9
1.1417,0,1,49.66,-80.34,0,25.9
1.141,0,1,49.92,-80.08,0,25.9
1.1402,0,1,50.18,-79.82,0,25.9
1.1395,0,1,50.44,-79.56,0,25.9
1.1387,0,1,50.7,-79.3,0,25.9
1.1383,0,1,50.96,-79.04,0,25.9
1.1379,0,1,51.22,-78.78,0,25.9
1.1374,0,1,51.48,-78.52,0,25.9
1.137,0,1,51.74,-78.26,0,25.9
1.1365,0,1,52,-78,0,25.9
1.136,0,1,52.26,-77.74,0,25.9
1.1355,0,1,52.52,-77.48,0,25.9
1.135,0,1,52.78,-77.22,0,25.9
1.1347,0,1,53.04,-76.96,0,25.9
1.1343,0,1,53.3,-76.7,0,25.9
1.1339,0,1,53.56,-76.44,0,25.9
1.1335,0,1,53.82,-76.18,0,25.9
1.1331,0,1,54.08,-75.92,0,25.9
1.1327,0,1,54.34,-75.66,0,25.9
1.1323,0,1,54.6,-75.4,0,25.9
1.132,0,1,54.86,-75.14,0,25.9
1.1318,0,1,55.12,-74.88,0,25.9
1.1315,0,1,55.38,-74.62,0,25.9
1.1312,0,1,55.64,-74.36,0,25.9
1.131,0,1,55.9,-74.1,0,25.9
1.1307,0,1,56.16,-73.84,0,25.9
1.1304,0,1,56.42,-73.58,0,25.9
1.1301,0,1,56.68,-73.32,0,25.9
1.1299,0,1,56.94,-73.06,0,25.9
1.1296,0,1,57.2,-72.8,0,25.9
1.1295,0,1,57.46,-72.54,0,25.9
1.1294,0,1,57.72,-72.28,0,25.9
1.1293,0,1,57.98,-72.02,0,25.9
1.1291,0,1,58.24,-71.76,0,25.9
1.129,0,1,58.5,-71.5,0,25.9
1.1288,0,1,58.76,-71.24,0,25.9
1.1287,0,1,59.02,-70.98,0,25.9
1.1285,0,1,59.28,-70.72,0,25.9
1.1284,0,1,59.54,-70.46,0,25.9
